==28806== NVPROF is profiling process 28806, command: ../../bin/CoMD-acc-v02-tesla
==28806== Profiling application: ../../bin/CoMD-acc-v02-tesla
==28806== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
283.57ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [219]
283.58ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [221]
283.59ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [223]
283.60ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [225]
283.61ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [227]
283.62ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [229]
283.63ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [231]
283.64ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [233]
283.65ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [235]
283.66ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [237]
283.66ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [239]
283.67ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [241]
283.68ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [243]
283.69ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [245]
283.70ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [247]
283.71ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [249]
283.72ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [251]
283.73ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [253]
283.74ms  1.0240us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [255]
283.75ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [257]
283.76ms  1.0240us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [259]
283.77ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [261]
283.78ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [263]
283.79ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [265]
283.79ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [267]
283.80ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [269]
283.81ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [271]
283.83ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [273]
283.84ms  1.0550us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [275]
283.85ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [277]
283.86ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [279]
283.87ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [281]
283.88ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [283]
283.89ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [285]
283.90ms  1.0550us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [287]
283.91ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [289]
283.92ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [291]
283.93ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [293]
283.94ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [295]
283.95ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [297]
283.96ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [299]
283.97ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [301]
283.98ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [303]
283.98ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [305]
283.99ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [307]
284.00ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [309]
284.01ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [311]
284.02ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [313]
284.03ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [315]
284.04ms  1.0240us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [317]
284.05ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [319]
284.06ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [321]
284.07ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [323]
284.08ms  1.0240us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [325]
284.09ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [327]
284.10ms  1.0240us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [329]
284.11ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [331]
284.11ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [333]
284.12ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [335]
284.13ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [337]
284.15ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [339]
284.16ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [341]
284.17ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [343]
284.17ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [345]
284.19ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [347]
284.19ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [349]
284.20ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [351]
284.21ms  1.0880us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [353]
284.22ms  1.0240us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [355]
284.23ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [357]
284.24ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [359]
284.25ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [361]
284.26ms  1.0880us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [363]
284.27ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [365]
